"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"200","B212","B211",0.3,2,0.657989228007181,-0.0816876122082586,0.266363636363636,0.155454545454545
"201","B213","B212",0,NA,NA,NA,NA,NA
"202","B214","B212",0.2,2,0.74878640776699,0.212378640776699,6.24590163934426,4.44262295081967
"203","B215","B214",0,NA,NA,NA,NA,NA
"204","B216","B214",0.2,3,0.552188552188552,NA,0.0633946830265849,NA
"205","B217","B216",0,NA,NA,NA,NA,NA
"206","B218","B216",0,NA,NA,NA,NA,NA
"207","B219","B216",0.1,2,0.622388059701492,0.126865671641791,1.76315789473684,1.39473684210526
"208","B22","B21",0,NA,NA,NA,NA,NA
"209","B220","B219",0,NA,NA,NA,NA,NA
"210","B221","B219",0,NA,NA,NA,NA,NA
"211","B222","B211",0.3,2,0.643863179074447,0.241448692152917,0.123251748251748,0.0218531468531469
"212","B223","B222",0,NA,NA,NA,NA,NA
"213","B224","B222",0.3,2,0.742045454545455,0.160227272727273,5.91566265060241,2.18072289156627
"214","B225","B224",0,NA,NA,NA,NA,NA
"215","B226","B224",0.2,2,0.672544080604534,-0.148614609571788,0.158482142857143,0.0915178571428572
"216","B227","B226",0,NA,NA,NA,NA,NA
"217","B228","B226",0.2,2,0.68558282208589,0.154907975460123,0.766666666666667,0.166666666666667
"218","B229","B228",0,NA,NA,NA,NA,NA
"219","B23","B21",0,NA,NA,NA,NA,NA
"220","B230","B228",0.1,2,0.567518248175182,0.235401459854015,1.16666666666667,0.761904761904762
"221","B231","B230",0,NA,NA,NA,NA,NA
"222","B232","B230",0,NA,NA,NA,NA,NA
